split_id,n_trees,accuracy,auc_roc,f1
0,1,0.733909,0.810884,0.741123
0,2,0.739001,0.815961,0.745798
0,3,0.737657,0.817113,0.746428
0,4,0.738648,0.818207,0.747902
0,5,0.740345,0.819285,0.749710
0,6,0.742891,0.820517,0.752973
0,7,0.742891,0.821355,0.752839
0,8,0.742821,0.821843,0.753224
0,9,0.742962,0.822476,0.753360
0,10,0.744801,0.823538,0.755456
0,11,0.746287,0.824069,0.757291
0,12,0.745862,0.824816,0.757574
0,13,0.746852,0.825410,0.757996
0,14,0.747418,0.825980,0.758373
0,15,0.747348,0.826413,0.758746
1,1,0.735465,0.808565,0.744884
1,2,0.736455,0.811978,0.748515
1,3,0.735465,0.813386,0.750134
1,4,0.736455,0.814469,0.749832
1,5,0.736950,0.815007,0.750151
1,6,0.737162,0.816108,0.750805
1,7,0.738011,0.816339,0.751443
1,8,0.737799,0.816934,0.751158
1,9,0.738860,0.817567,0.751648
1,10,0.740628,0.818282,0.753545
1,11,0.740628,0.818974,0.753413
1,12,0.740557,0.819414,0.753627
1,13,0.740699,0.819877,0.753861
1,14,0.741265,0.820336,0.754431
1,15,0.741406,0.820746,0.754334
2,1,0.737870,0.813198,0.750169
2,2,0.741477,0.816039,0.749537
2,3,0.741052,0.818979,0.750935
2,4,0.743245,0.820951,0.753932
2,5,0.743599,0.821716,0.755018
2,6,0.743882,0.822589,0.755520
2,7,0.745296,0.823786,0.755848
2,8,0.746499,0.824461,0.758099
2,9,0.747277,0.825322,0.758336
2,10,0.747135,0.825907,0.758788
2,11,0.747913,0.826153,0.759935
2,12,0.748621,0.826913,0.760124
2,13,0.748974,0.827280,0.760865
2,14,0.750035,0.828132,0.761699
2,15,0.750601,0.828623,0.762367
3,1,0.735253,0.806225,0.744453
3,2,0.735748,0.808651,0.750534
3,3,0.738789,0.811673,0.750860
3,4,0.740416,0.813138,0.752829
3,5,0.739355,0.814169,0.751030
3,6,0.739072,0.814946,0.750693
3,7,0.740840,0.815992,0.752499
3,8,0.741831,0.816975,0.753811
3,9,0.743033,0.818007,0.754676
3,10,0.742679,0.818377,0.755215
3,11,0.742891,0.819242,0.755466
3,12,0.744448,0.819928,0.756618
3,13,0.744094,0.820716,0.756429
3,14,0.744801,0.821286,0.757233
3,15,0.745367,0.821848,0.757576
4,1,0.733201,0.804166,0.741573
4,2,0.734970,0.807756,0.748439
4,3,0.736101,0.809717,0.751184
4,4,0.736384,0.810715,0.749277
4,5,0.736101,0.812568,0.748670
4,6,0.737374,0.813290,0.750454
4,7,0.738294,0.814759,0.751878
4,8,0.740345,0.815771,0.754202
4,9,0.740345,0.816600,0.753872
4,10,0.741265,0.816931,0.755350
4,11,0.742538,0.817639,0.756424
4,12,0.743316,0.818133,0.756557
4,13,0.743740,0.818850,0.757058
4,14,0.744448,0.819233,0.757631
4,15,0.745721,0.819645,0.759129
